Type,Title,URL,Notes,Cost,Comments
Meetups,Montreal's web accessibility & inclusive design meet-up,https://www.meetup.com/a11ymtl/,,,
Meetups,Mid-MO Web Accessibility Meetup,https://www.facebook.com/groups/1981893992043062/,,,
Meetups,New York City A11yNYC,http://a11ynyc.com/,,,
Meetups,Ottawa a11yYOW,https://www.meetup.com/a11yOttawa,,,
Meetups,Portland Accessibility and User Experience Meetup,https://www.meetup.com/Portland-Accessibility-and-User-Experience-Meetup/,,,
Meetups,Quebec City a11yQC,http://a11yqc.org/,,,
Meetups,Raleigh-Durham a11yRTP,https://www.meetup.com/a11yRTP/,,,
Meetups,role=drinks,https://www.roledrinks.com/,,,
Meetups,role=drinks Hamburg,http://www.roledrinks.de/,,,
Meetups,San Francisco,https://www.meetup.com/a11ybay/,,,
Meetups,Seattle Area Accessibility & Inclusive Design,https://www.meetup.com/a11ysea/,,,
Meetups,Toronto a11yTO,https://www.meetup.com/a11yTo/ - both a meetup and a conference,,,
Meetups,Web Accessibility & Inclusive Design - Sydney ,https://www.meetup.com/Sydney-Web-Accessibility-Inclusive-Design/,,,
Meetups,Web Accessibility & Inclusive Design - Melbourne,https://www.meetup.com/Melbourne-Web-Accessibility-Inclusive-Design/,,,
Meetups,Digital Accessibility and Inclusive Design Meetup - Auckland,https://www.meetup.com/Auckland-Digital-Accessibility-and-Inclusive-Design-Meetup/,,,
Certificates,International Association of Accessibility Professionals (IAAP) Certification,http://www.accessibilityassociation.org/certification,,,
Certificates,Media Access Australia (W3C Member): Professional Certificate in Web Accessibility,https://www.mediaaccess.org.au/digitalaccessibilityservices/services/education-and-training/pcwa/,,,
Certificates,Mohawk College: Ontario College Graduate Certificate in Accessible Media Production,https://www.mohawkcollege.ca/programs/graduate-studies/accessible-media-production-390,,,
Vendor Materials,Chrome & Chrome OS Accessibility (on YouTube),https://www.youtube.com/playlist?list=PL5aqr5w5fRe7QWzXhqxrilIVduWEmLHM2,,,
More Information,"Books, tutorials & blogs here",https://github.com/mgifford/a11y-courses/blob/master/Reading-Material.md,,,
More Information,Follow these people on Twitter,https://github.com/joe-watkins/top-people-to-follow-in-web-accessibility,,,
More Information,A11ySlack Slack Channel,https://developer.paciellogroup.com/blog/2015/07/anybody-can-be-an-a11y-slacker/,,,
More Information,Digital A11y: Digital Accessibility Courses Roundup,https://www.digitala11y.com/digital-accessibility-courses-roundup/,,,
